ATENEI,QUOTA BASE 2013 + PIANO ASSOCIATI 11 e 12,DOMANDA DIDATTICA 50,RISULTATI DIDATTICA 50,TOTALE DIDATTICA (34),VQR 90,RECLUTAMENTO 10,TOTALE RICERCA (66),TOTALE QUOTA PREMIALE 2013,PEREQUATIVO 2013,TOTALE FFO 2013 (BASE (compresa L 296/06 + L 350/03 + Altri int cons) + Piano associati 11 e 12 + Premiale + Perequativo),TOTALE FFO 2012 (BASE (compresa L 296/06 + L 350/03 + Altri int cons) + Piano associati 2011 + Premiale + Perequativo),DIFFERENZA 2013 - 2012, DIFFERENZA 2013 vs 2012,MAX 100 2012,Assicurazione -5 2012,riduzione ulteriore di -1.3236 per situazioni tra 0 e -4.75 con soglia minima - 4.75,TOTALE FFO 2013 ridet (BASE (compresa L 296/06 + L 350/03 + Altri int cons) + Piano associati 11 e 12 + Premiale + Perequativo),DIFFERENZA 2013 ridet -2012,DIFFERENZA 2013 ridet vs 2012
Università Politecnica delle MARCHE,56903180,1713396,1891411,3604807,5241549,679489,5921038,9525845,1148363,67577388,69860359,2282971,-3.27,,,-924650,66652738,-3207621,-4.59
Università degli Studi di BARI,159886856,4026556,4198671,8225227,10794976,147059,10942035,19167262,1582669,180636787,192426286,11789499,-6.13,,2168184,,182804971,-9621314,-5.00
Politecnico di BARI,33145323,1079126,706700,1785826,2429964,21844,2451808,4237634,374379,37757336,39823080,2065744,-5.19,,74590,,37831926,-1991154,-5.00
Università degli Studi della BASILICATA,27045986,594508,409915,1004423,2361143,111422,2472565,3476988,312357,30835331,32511254,1675923,-5.15,,50360,,30885691,-1625563,-5.00
Università degli Studi di BERGAMO,28722826,1043324,1296678,2340002,3062175,485362,3547537,5887539,872626,35482991,35490584,7593,-0.02,,,-469742,35013249,-477336,-1.34
Università degli Studi di BOLOGNA,311092263,8137753,10431529,18569282,33802586,5632762,39435348,58004630,7825871,376922764,390993855,14071091,-3.60,,,-4501117,372421647,-18572208,-4.75
Università degli Studi di BRESCIA,53979620,1158153,1058635,2216788,5451087,777136,6228223,8445011,927317,63351948,66874630,3522683,-5.27,,178951,,63530899,-3343732,-5.00
Università degli Studi di CAGLIARI,101571780,2228670,1540101,3768771,7899925,292095,8192020,11960791,979765,114512336,121465786,6953450,-5.72,,880161,,115392497,-6073289,-5.00
Università della CALABRIA,79384750,2653330,2369221,5022551,7173057,139934,7312991,12335542,1340681,93060973,97415607,4354634,-4.47,,,-272607,92788366,-4627241,-4.75
Università degli Studi di CASSINO,25985948,637458,628564,1266022,2467521,456242,2923763,4189785,466773,30642506,31520260,877754,-2.78,,,-417192,30225313,-1294947,-4.11
Università degli Studi di CATANIA,147847538,4301358,3757950,8059308,9394929,181293,9576222,17635530,1462858,166945926,177584240,10638314,-5.99,,1759102,,168705028,-8879212,-5.00
"Università degli Studi ""Magna Graecia"" di CATANZARO",26091984,747789,715303,1463092,2094276,360983,2455259,3918351,413061,30423396,31272898,849501,-2.72,,,-413918,30009478,-1263420,-4.04
"Università degli Studi ""G d'Annunzio"" CHIETI-PESCARA",66025008,2783348,2639750,5423098,6107601,514301,6621902,12045000,1583017,79653025,80998121,1345095,-1.66,,,-1072066,78580959,-2417161,-2.98
Università degli Studi di FERRARA,62012222,1572474,1712106,3284580,6075498,984946,7060444,10345024,1248617,73605863,77452853,3846990,-4.97,,,,73605863,-3846990,-4.97
Università degli Studi di FIRENZE,194993897,4643138,5027127,9670265,19122695,1510423,20633118,30303383,3293276,228590556,240442229,11851673,-4.93,,,,228590556,-11851673,-4.93
Università degli Studi di FOGGIA,28999566,660987,542939,1203926,3546211,472330,4018541,5222467,667356,34889389,34931224,41834,-0.12,,,-462339,34427050,-504173,-1.44
Università degli Studi di GENOVA,148400874,3102104,3069041,6171145,11343126,1009978,12353104,18524249,1616419,168541542,182399251,13857709,-7.60,,4737747,,173279288,-9119963,-5.00
Università degli Studi INSUBRIA Varese-Como,31879037,820912,871996,1692908,3702246,211784,3914030,5606938,710948,38196923,39060433,863509,-2.21,,,-516992,37679932,-1380501,-3.53
Università degli Studi del SALENTO,66436895,1436189,1369018,2805207,5095749,367269,5463018,8268225,716340,75421460,80000041,4578581,-5.72,,578579,,76000039,-4000002,-5.00
Università degli Studi di MESSINA,132397649,2723308,2312667,5035975,7515706,134290,7649996,12685971,839357,145922977,154742303,8819326,-5.70,,1082211,,147005188,-7737115,-5.00
Università degli Studi di MILANO,221726034,5685074,6364535,12049609,22248535,3419013,25667548,37717157,4641758,264084949,276402421,12317473,-4.46,,,-811642,263273306,-13129115,-4.75
Università degli Studi di MILANO-BICOCCA,88007640,2615052,3001591,5616643,10637185,1822174,12459359,18076002,2687999,108771641,109101682,330041,-0.30,,,-1444036,107327605,-1774077,-1.63
Politecnico di MILANO,161204191,6238108,6066239,12304347,14578247,3030843,17609090,29913437,4034689,195152317,203443818,8291501,-4.08,,,-1372080,193780237,-9663581,-4.75
Università degli Studi di MODENA e REGGIO EMILIA,72864816,1898505,1996850,3895355,7520491,1275427,8795918,12691273,1578709,87134798,89881318,2746520,-3.06,,,-1189641,85945157,-3936161,-4.38
Università degli Studi del MOLISE,23223583,525642,483409,1009051,2669701,303250,2972951,3982002,485930,27691515,28079299,387784,-1.38,,,-371649,27319866,-759433,-2.70
"Università degli Studi di NAPOLI ""Federico II""",284086922,7673368,5532566,13205934,20099124,1466045,21565169,34771103,2962535,321820560,344393989,22573429,-6.55,,5353729,,327174289,-17219699,-5.00
Seconda Università degli Studi di NAPOLI,99442433,2741052,2399030,5140082,6426012,2520,6428532,11568614,935024,111946071,119574079,7628008,-6.38,,1649304,,113595375,-5978704,-5.00
"Università degli Studi di NAPOLI ""Parthenope""",27520054,1016558,903110,1919668,2286486,179769,2466255,4385923,484362,32390339,33184822,794482,-2.39,,,-439224,31951115,-1233706,-3.72
"Università degli Studi di NAPOLI ""L'Orientale""",25555741,560701,614299,1175000,2137759,251902,2389661,3564661,348148,29468550,31204612,1736062,-5.56,,175831,,29644381,-1560231,-5.00
Università degli Studi di PADOVA,229144066,5923840,7955714,13879554,25782349,4796582,30578931,44458485,6225180,279827731,284655960,4828229,-1.70,,,-3767618,276060113,-8595847,-3.02
Università degli Studi di PALERMO,181886091,4539008,4319113,8858121,11659096,,11659096,20517217,1602512,204005820,215729275,11723455,-5.43,,936991,,204942812,-10786464,-5.00
Università degli Studi di PARMA,99957235,2808935,2017990,4826925,8311286,1076474,9387760,14214685,1417234,115589154,123321532,7732378,-6.27,,1566302,,117155455,-6166077,-5.00
Università degli Studi di PAVIA,100624431,2415818,2755159,5170977,9663390,1290733,10954123,16125100,1868798,118618329,125758453,7140125,-5.68,,852202,,119470530,-6287923,-5.00
Università degli Studi di PERUGIA,113574090,2420956,2245950,4666906,10323997,709483,11033480,15700386,1498374,130772850,137447981,6675131,-4.86,,,,130772850,-6675131,-4.86
"Università degli Studi del PIEMONTE ORIENTALE ""Amedeo Avogadro""-Vercelli",35778674,820906,906752,1727658,4219870,621488,4841358,6569016,870195,43217885,44425318,1207433,-2.72,,,-588000,42629886,-1795432,-4.04
Università degli Studi di PISA,164537723,3767780,2990115,6757895,14549130,1835561,16384691,23142586,2277610,189957919,202241883,12283964,-6.07,,2171870,,192129789,-10112094,-5.00
"Università degli Studi ""Mediterranea"" di REGGIO CALABRIA",23431780,674958,385624,1060582,2104115,99630,2203745,3264327,315374,27011481,28662566,1651085,-5.76,,217956,,27229438,-1433128,-5.00
"Università degli Studi di ROMA ""La Sapienza""",428220591,10337242,11167652,21504894,31752732,2883067,34635799,56140693,5125073,489486357,520493398,31007040,-5.96,,4982371,,494468728,-26024670,-5.00
"Università degli Studi di ROMA ""Tor Vergata""",120002020,2897025,2358122,5255147,13633832,1051765,14685597,19940744,2360679,142303443,149730985,7427543,-4.96,,,,142303443,-7427543,-4.96
Università degli Studi ROMA TRE,96095014,2638628,3341662,5980290,8427602,907549,9335151,15315441,1701401,113111856,116342376,3230521,-2.78,,,-1539872,111571984,-4770392,-4.10
Università degli Studi di SALERNO,93557674,2462089,1991109,4453198,9814999,675779,10490778,14943976,1663008,110164658,112823331,2658673,-2.36,,,-1493295,108671363,-4151968,-3.68
Università degli Studi del SANNIO di BENEVENTO,16303933,438551,295798,734349,1910033,160769,2070802,2805151,347791,19456875,19693171,236296,-1.20,,,-260653,19196222,-496949,-2.52
Università degli Studi di SASSARI,60545937,1138538,1020821,2159359,5539000,502359,6041359,8200718,771579,69518234,72820016,3301782,-4.53,,,-157169,69361065,-3458951,-4.75
Università degli Studi di SIENA,88572104,1877304,1730001,3607305,11747512,991198,12738710,16346015,2143769,107061888,109091409,2029521,-1.86,,,-1443897,105617991,-3473418,-3.18
Università degli Studi di TERAMO,21090104,394081,535416,929497,2213502,322589,2536091,3465588,404587,24960279,25032492,72213,-0.29,,,-331322,24628957,-403535,-1.61
Università degli Studi di TORINO,199875153,5694979,5968285,11663264,19426125,2872981,22299106,33962370,4150844,237988367,246258847,8270480,-3.36,,,-3259406,234728962,-11529885,-4.68
Politecnico di TORINO,94515868,3578996,2926612,6505608,8548187,1676308,10224495,16730103,2173525,113419496,124791785,11372289,-9.11,,5132700,,118552196,-6239589,-5.00
Università degli Studi di TRIESTE,78708474,1669748,1582868,3252616,6872549,571431,7443980,10696596,1005806,90410876,95880190,5469314,-5.70,,675305,,91086180,-4794009,-5.00
Università degli Studi della TUSCIA,30975738,499881,621628,1121509,3222138,237014,3459152,4580661,473929,36030328,37745479,1715151,-4.54,,,-77759,35952569,-1792910,-4.75
Università degli Studi di UDINE,59647786,1484393,1429614,2914007,7217341,995997,8213338,11127345,1480850,72255981,74025144,1769163,-2.39,,,-979774,71276207,-2748937,-3.71
"Università ""Ca' Foscari"" di VENEZIA",56324613,1694863,2007956,3702819,5963095,983565,6946660,10649479,1464661,68438753,70687544,2248791,-3.18,,,-935598,67503155,-3184389,-4.50
Università IUAV di VENEZIA,24036950,896417,917473,1813890,1498706,218923,1717629,3531519,363078,27931547,28947261,1015713,-3.51,,,-359281,27572266,-1374995,-4.75
Università degli Studi di VERONA,74184066,2129173,2556096,4685269,9021056,1443338,10464394,15149663,2238047,91571776,92488212,916437,-0.99,,,-1224145,90347630,-2140582,-2.31
"Università degli Studi di URBINO ""Carlo BO""",37851135,1007950,1291519,2299469,2776980,234282,3011262,5310731,514892,43676758,45640174,1963416,-4.30,,,-204492,43472266,-2167908,-4.75
"Università degli Studi di ROMA ""Foro Italico""",11609402,,,,544177,132517,676694,676694,,12286096,12034364,251732,2.09,-251732,,,12034364,,0
Università per Stranieri di SIENA,7443939,,,,446167,,446167,446167,,7890106,7700199,189906,2.47,-189906,,,7700199,,0
Università per Stranieri di PERUGIA,12100656,,,,207303,11150,218453,218453,,12319109,12573657,-254548,-2.02,,,-166421,12152688,-420969,-3.35
Scuola Normale Superiore di PISA,31249964,,,,1895299,136797,2032096,2032096,,33282060,32340274,941786,2.91,-941786,,,32340274,,0
Scuola Sup di Studi Univ e Perfezionamento SAnna di PISA,24112718,,,,1896700,288292,2184992,2184992,,26297710,25036945,1260765,5.04,-1260765,,,25036945,,0
Scuola Internazionale Superiore di Studi Avanzati di TRIESTE,17055018,,,,1332040,,1332040,1332040,,18387058,17683163,703895,3.98,-703895,,,17683163,,0
Scuola IMT – Istituzioni  Mercati Tecnologie - Alti Studi - LUCCA,5145194,,,,251096,17285,268381,268381,,5413575,5300402,113172,2.14,-113172,,,5300402,,0
IUSS - Istituto Universitario di Studi Superiori - PAVIA,3414500,,,,240503,26439,266942,266942,,3681442,3443460,237983,6.91,-237983,,,3443460,,0
SUM - Istituto Italiano di SCIENZE UMANE di FIRENZE	,2997819,,,,188533,40770,229303,229303,,3227122,3169512,57610,1.82,-57610,,,3169512,,0
